ID_Lancamento,Data,Descricao,Categoria,Valor (R$),Forma_de_Pagamento,Status,Unnamed: 7,Ganhos,Gastos,Unnamed: 10,Tipo de Pagamento,Quantidade,Unnamed: 13,Mês/Ano,Balanço Mensal
1,2025-01-05 00:00:00,Manicure,Receita,30,PIX,Concluído,,30,-500,,Manicure,16,,2025-01-01 00:00:00,-325
2,2025-01-08 00:00:00,Pedicure,Receita,40,Cartão de Débito,Concluído,,40,-100,,Pedicure,8,,2025-02-01 00:00:00,-440
3,2025-01-10 00:00:00,Aluguel do Espaço,Despesa,-500,Boleto,Concluído,,150,-150,,Alongamento de Unhas,10,,2025-03-01 00:00:00,-235
4,2025-01-12 00:00:00,Alongamento de Unhas,Receita,150,Cartão de Crédito,Concluído,,60,-80,,Spa dos Pés,7,,2025-04-01 00:00:00,-285
5,2025-01-15 00:00:00,Compra de Esmaltes,Despesa,-100,Dinheiro,Concluído,,65,-200,,Manicure e Pedicure,9,,2025-05-01 00:00:00,-430
6,2025-01-18 00:00:00,Spa dos Pés,Receita,60,PIX,Concluído,,80,-500,,Venda de Produtos,11,,2025-06-01 00:00:00,-575
7,2025-01-20 00:00:00,Manicure e Pedicure,Receita,65,Cartão de Débito,Concluído,,30,-300,,,,,2025-07-01 00:00:00,-345
8,2025-01-25 00:00:00,Conta de Luz,Despesa,-150,Débito Automático,Concluído,,40,-120,,,,,2025-08-01 00:00:00,-450
9,2025-01-28 00:00:00,Venda de Produtos,Receita,80,Dinheiro,Concluído,,150,-160,,,,,2025-09-01 00:00:00,-570
10,2025-02-02 00:00:00,Manicure,Receita,30,PIX,Concluído,,30,-80,,,,,2025-10-01 00:00:00,-425
11,2025-02-05 00:00:00,Compra de Material Descartável,Despesa,-80,Dinheiro,Concluído,,90,-500,,,,,2025-11-01 00:00:00,-280
12,2025-02-09 00:00:00,Pedicure,Receita,40,Cartão de Débito,Concluído,,65,-70,,,,,,
13,2025-02-11 00:00:00,Marketing e Divulgação,Despesa,-200,Transferência,Pendente,,60,-155,,,,,,
14,2025-02-14 00:00:00,Alongamento de Unhas,Receita,150,Cartão de Crédito,Concluído,,30,-150,,,,,,
15,2025-02-18 00:00:00,Manicure,Receita,30,Dinheiro,Concluído,,150,-500,,,,,,
16,2025-02-22 00:00:00,Aluguel do Espaço,Despesa,-500,Boleto,Concluído,,40,-100,,,,,,
17,2025-02-25 00:00:00,Venda de Produtos,Receita,90,PIX,Concluído,,30,-165,,,,,,
18,2025-03-01 00:00:00,Manicure e Pedicure,Receita,65,Cartão de Débito,Concluído,,110,-90,,,,,,
19,2025-03-04 00:00:00,Spa dos Pés,Receita,60,PIX,Concluído,,65,-500,,,,,,
20,2025-03-07 00:00:00,Cursos e Aperfeiçoamento,Despesa,-300,Boleto,Concluído,,150,-250,,,,,,
21,2025-03-10 00:00:00,Compra de Esmaltes,Despesa,-120,Dinheiro,Concluído,,60,-160,,,,,,
22,2025-03-15 00:00:00,Manicure,Receita,30,PIX,Concluído,,30,-110,,,,,,
23,2025-03-20 00:00:00,Conta de Luz,Despesa,-160,Débito Automático,Pendente,,75,-500,,,,,,
24,2025-03-25 00:00:00,Alongamento de Unhas,Receita,150,Cartão de Crédito,Concluído,,40,-85,,,,,,
25,2025-03-28 00:00:00,Pedicure,Receita,40,Cartão de Débito,Concluído,,30,-170,,,,,,
26,2025-04-02 00:00:00,Manicure,Receita,30,Dinheiro,Concluído,,160,-150,,,,,,
27,2025-04-05 00:00:00,Venda de Produtos,Receita,110,PIX,Concluído,,65,-500,,,,,,
28,2025-04-08 00:00:00,Conta de Água,Despesa,-80,Débito Automático,Concluído,,130,-100,,,,,,
29,2025-04-10 00:00:00,Aluguel do Espaço,Despesa,-500,Boleto,Concluído,,60,-165,,,,,,
30,2025-04-12 00:00:00,Manicure e Pedicure,Receita,65,Cartão de Débito,Concluído,,35,-130,,,,,,
31,2025-04-15 00:00:00,Compra de Material de Limpeza,Despesa,-70,Dinheiro,Concluído,,40,-520,,,,,,
32,2025-04-18 00:00:00,Alongamento de Unhas,Receita,150,Cartão de Crédito,Concluído,,160,-280,,,,,,
33,2025-04-21 00:00:00,Spa dos Pés,Receita,60,PIX,Concluído,,35,-175,,,,,,
34,2025-04-25 00:00:00,Conta de Luz,Despesa,-155,Débito Automático,Concluído,,85,-100,,,,,,
35,2025-04-28 00:00:00,Manicure,Receita,30,Dinheiro,Concluído,,70,-520,,,,,,
36,2025-04-30 00:00:00,Venda de Produtos,Receita,75,PIX,Concluído,,65,-90,,,,,,
37,2025-05-03 00:00:00,Pedicure,Receita,40,Cartão de Débito,Concluído,,35,-180,,,,,,
38,2025-05-06 00:00:00,Compra de Esmaltes,Despesa,-150,Cartão de Crédito,Concluído,,160,-50,,,,,,
39,2025-05-09 00:00:00,Manicure,Receita,30,PIX,Concluído,,40,-520,,,,,,
40,2025-05-10 00:00:00,Aluguel do Espaço,Despesa,-500,Boleto,Concluído,,150,,,,,,,
41,2025-05-12 00:00:00,Conta de Internet,Despesa,-100,Débito Automático,Concluído,,70,,,,,,,
42,2025-05-15 00:00:00,Alongamento de Unhas,Receita,160,PIX,Concluído,,35,,,,,,,
43,2025-05-19 00:00:00,Manicure e Pedicure,Receita,65,Dinheiro,Concluído,,65,,,,,,,
44,2025-05-23 00:00:00,Venda de Produtos,Receita,130,Cartão de Débito,Concluído,,165,,,,,,,
